,experiment_id,state_noise,mean,std
0,new_experiment,0.0,1.0,1.0648885158809838e-17
1,new_experiment,0.02,1.0,9.42055475210265e-18
2,new_experiment,0.04,1.0,1.3506446028928518e-17
3,new_experiment,0.06,1.0,1.1322097734007352e-17
4,new_experiment,0.08,0.9885037844900387,0.004951477967147386
5,new_experiment,0.1,0.9855051336494424,0.005653496546976169
6,new_experiment,0.12,0.9123023100683401,0.02457955251332661
7,new_experiment,0.14,0.9309627133332634,0.01982749542097979
8,new_experiment,0.16,0.8942229325402851,0.028291867890440123
9,new_experiment,0.18,0.7982001190279502,0.0371041182514651
