,0,iteration,performance:,var
0,,0,0.08075551455616602,
1,,1,0.08080758671100634,
2,,2,0.24534921225231046,
3,,3,0.3128649443860634,
4,,4,0.08118634180308086,
5,,5,0.12102214577873091,
6,,6,0.08110284284719563,
7,,7,0.2993118696510033,
8,,8,0.08065165666853386,
9,,9,0.08127851317225147,
10,,10,0.35085753648972523,
11,,11,0.3043206631034185,
12,,12,0.2821015313222396,
13,,13,0.24559221272138376,
14,,14,0.08163996369292789,
15,,15,0.08084722761903161,
16,,16,0.0812020063149032,
17,,17,0.1424365844387702,
18,,18,0.08128348095777177,
19,,19,0.08106868082533804,
20,,20,0.08082623145078816,
21,,21,0.29619195868599363,
22,,22,0.24618451666569366,
23,,23,0.2823485835581342,
24,,24,0.2480355667820454,
25,,25,0.31483743009907106,
26,,26,0.08095607982106974,
27,,27,0.30969451342688387,
28,,28,0.31752421372379724,
29,,29,0.14112413892595757,
30,,30,0.31885035972355713,
31,,31,0.08113005605311294,
32,,32,0.12098186302736647,
33,,33,0.319689323417555,
34,,34,0.317936584587339,
35,,35,0.08127657361235925,
36,,36,0.31027876045021197,
37,,37,0.2959823413502951,
38,,38,0.30264169074607883,
39,,39,0.08141327625426749,
40,,40,0.3164657623029342,
41,,41,0.31952958275596266,
42,,42,0.13934700765723265,
43,,43,0.12089028186840399,
44,,44,0.08121843025316822,
45,,45,0.3476764410405399,
46,,46,0.1424294852929179,
47,,47,0.20781585088357307,
48,,48,0.24570639770514696,
49,,49,0.08127774237415722,
50,,50,0.0813455434450131,
51,,51,0.08113393223003881,
52,,52,0.08132415786587296,
53,,53,0.24575704596870573,
54,,54,0.2470630302755446,
55,,55,0.31792844930892994,
56,,56,0.08085455930825185,
57,,57,0.14107474355775057,
58,,58,0.2947535714964482,
59,,59,0.0814581996063458,
60,,60,0.2472113243209333,
61,,61,0.3124264595375338,
62,,62,0.12133939312997893,
63,,63,0.08159197270317559,
64,,64,0.3759923199780027,
65,,65,0.08128242826622356,
66,,66,0.28934774816187325,
67,,67,0.28227547395885183,
68,,68,0.081089258622544,
69,,69,0.08137173149124755,
70,,70,0.12317219964793227,
71,,71,0.2822108358078574,
72,,72,0.2906833793333383,
73,,73,0.3103314568838499,
74,,74,0.2955893885269052,
75,,75,0.30582430139479433,
76,,76,0.08051312060247491,
77,,77,0.08105490822918122,
78,,78,0.0809287973951101,
79,,79,0.24574348679443184,
80,,80,0.24532535542572848,
81,,81,0.24693056059973276,
82,,82,0.23745649487060785,
83,,83,0.3065644724121196,
84,,84,0.247572708340271,
85,,85,0.12593413948650808,
86,,86,0.28837345301769207,
87,,87,0.08118169948338928,
88,,88,0.30353340859457256,
89,,89,0.08102170980839304,
90,,90,0.14062640671044085,
91,,91,0.08107119069469056,
92,,92,0.30329895158372056,
93,,93,0.30034791519476445,
94,,94,0.08063575137904475,
95,,95,0.12847868255085282,
96,,96,0.14081500162599456,
97,,97,0.1408543573854486,
98,,98,0.2868845001289908,
99,,99,0.08108262598018602,
100,,100,0.08080190069317342,
101,,101,0.1451861657427359,
102,,102,0.12791296467322288,
103,,103,0.24604521958842585,
104,,104,0.24528782122687154,
105,,105,0.08135876343428457,
106,,106,0.08126245392776073,
107,,107,0.2476032227608352,
108,,108,0.08126826688005946,
109,,109,0.29038163986236454,
110,,110,0.06565949976448021,
111,,111,0.08084143609249689,
112,,112,0.1424091267973815,
113,,113,0.06605850243430313,
114,,114,0.08117313692484737,
115,,115,0.0707096425940479,
116,,116,0.14124874295450368,
117,,117,0.24621176860631083,
118,,118,0.2697966022673991,
119,,119,0.1413155160037757,
120,,120,0.16604263597204738,
121,,121,0.12549101798985218,
122,,122,0.17848333313981468,
123,,123,0.14224162317195432,
124,,124,0.195399257624979,
125,,125,0.14143484479613688,
126,,126,0.0810040192979533,
127,,127,0.12474331204458355,
128,,128,0.30695269791845237,
129,,129,0.1265391485893581,
130,,130,0.1423521676064047,
131,,131,0.08115224684235858,
132,,132,0.3024864265539608,
133,,133,0.12506858454381678,
134,,134,0.1259605754525513,
135,,135,0.08066488247910143,
136,,136,0.27851188516279785,
137,,137,0.37173313661952484,
138,,138,0.24753141653183514,
139,,139,0.08125324335732942,
140,,140,0.24215949652914132,
141,,141,0.08110412008305064,
142,,142,0.08063058979712381,
143,,143,0.14248459049174542,
144,,144,0.12452056312059433,
145,,145,0.2501605767275077,
146,,146,0.08090916886475438,
147,,147,0.29278410287904,
148,,148,0.29609859732273647,
149,,149,0.08108869207634903,
150,,150,0.14311002775782927,
151,,151,0.29436751111824516,
152,,152,0.247586262773625,
153,,153,0.2808610203990275,
154,,154,0.24780490238993064,
155,,155,0.24709535313433573,
156,,156,0.28333312131419475,
157,,157,0.080878855697719,
158,,158,0.14428113662230796,
159,,159,0.2841351833767835,
160,,160,0.29782838908564335,
161,,161,0.2787511636347489,
162,,162,0.28891856609937194,
163,,163,0.08077468165049863,
164,,164,0.29439228719815963,
165,,165,0.418058527599907,
166,,166,0.12437527746893226,
167,,167,0.081612401557626,
168,,168,0.08108606687634927,
169,,169,0.12341443011190217,
170,,170,0.141894096359273,
171,,171,0.4202577843890995,
172,,172,0.246734533261877,
173,,173,0.08123654233670534,
174,,174,0.29445381391758063,
175,,175,0.24805791246793402,
176,,176,0.12352410877890763,
177,,177,0.3067397853221593,
178,,178,0.3093440652963918,
179,,179,0.12316701518688326,
180,,180,0.08096445412819137,
181,,181,0.08111201841469323,
182,,182,0.1422813411006649,
183,,183,0.29383890368290094,
184,,184,0.31407927802801366,
185,,185,0.08120407991810881,
186,,186,0.12339558525330478,
187,,187,0.3538994982764784,
188,,188,0.14242462363734568,
189,,189,0.31473828008540056,
190,,190,0.14195068263983,
191,,191,0.08103370361443786,
192,,192,0.7976967808973848,
193,,193,0.30537796910960197,
194,,194,0.4177502660039881,
195,,195,0.24731997037100462,
196,,196,0.1423505635804142,
197,,197,0.3120286886547385,
198,,198,0.30794286275745386,
199,,199,0.30017260675992563,
200,,200,0.28156450839123687,
201,,201,0.41652884506419374,
202,,202,0.081440689470998,
203,,203,0.41439920394379215,
204,,204,0.08054065139701033,
205,,205,0.14233462970277347,
206,,206,0.12346489647197062,
