,experiment_id,action_noise,performance,variation
0,new_experiment,0.0,1.0,1.0175362097255201e-17
1,new_experiment,0.02,0.9970642399744472,0.0029062541508067825
2,new_experiment,0.04,0.9969672711347423,0.0030022484045736032
3,new_experiment,0.06,0.9986473429951691,0.0013390621170295959
4,new_experiment,0.08,0.994061605715964,0.0028558274800999563
5,new_experiment,0.1,0.9877815244765082,0.0045148761102996905
6,new_experiment,0.12,0.9655264810852828,0.007407505794249073
7,new_experiment,0.14,0.9684951281301708,0.0073191813274229136
8,new_experiment,0.16,0.9477779411777244,0.011475763731972448
9,new_experiment,0.18,0.9240342139374654,0.016221163049698582
